8.088386058807373047e-01,3.295178890228271484e+00,3.759604692459106445e-02,2.297286033630371094e+00,-8.909119367599487305e-01,6.099514961242675781e+00,4.442516803741455078e+00,1.443031072616577148e+00
1.121899127960205078e+00,3.112125635147094727e+00,4.156447052955627441e-01,2.519625663757324219e+00,-4.864926338195800781e-01,6.118312835693359375e+00,6.090106010437011719e+00,2.591674089431762695e+00
1.399842858314514160e+00,2.926332712173461914e+00,7.688857913017272949e-01,2.691562414169311523e+00,7.445693016052246094e-02,6.326135158538818359e+00,7.646168708801269531e+00,3.851486921310424805e+00
1.643195509910583496e+00,2.736396312713623047e+00,1.093649864196777344e+00,2.822948217391967773e+00,7.743783593177795410e-01,6.710577964782714844e+00,9.109334945678710938e+00,5.197268009185791016e+00
1.849112629890441895e+00,2.543995380401611328e+00,1.386168241500854492e+00,2.903546810150146484e+00,1.595976114273071289e+00,7.257402896881103516e+00,1.047753334045410156e+01,6.608742237091064453e+00
2.015600919723510742e+00,2.345538139343261719e+00,1.643358707427978516e+00,2.948292255401611328e+00,2.520532369613647461e+00,7.950487136840820312e+00,1.174953079223632812e+01,8.060515403747558594e+00
2.141271829605102539e+00,2.147288799285888672e+00,1.861207604408264160e+00,2.957113027572631836e+00,3.528332710266113281e+00,8.772166252136230469e+00,1.292230033874511719e+01,9.534661293029785156e+00
2.229313611984252930e+00,1.950784683227539062e+00,2.038553476333618164e+00,2.929994106292724609e+00,4.598968505859375000e+00,9.702770233154296875e+00,1.399594497680664062e+01,1.101321792602539062e+01
2.279268264770507812e+00,1.759397983551025391e+00,2.172570705413818359e+00,2.870400667190551758e+00,5.713625431060791016e+00,1.072204685211181641e+01,1.497133731842041016e+01,1.247821521759033203e+01
2.298055171966552734e+00,1.569389104843139648e+00,2.267849922180175781e+00,2.782734394073486328e+00,6.853259563446044922e+00,1.180833244323730469e+01,1.585103607177734375e+01,1.391341590881347656e+01
